Title, Price, Listing, Location
QUALIFIED GOOD TENANTS,$3200,http://sfbay.craigslist.org/pen/apa/3817578888.html,(san bruno)
NICE HOME IN NICE NEIGHBORHOOD CLOSE TO EVERYTHING - VALLEJO,$2475,http://sfbay.craigslist.org/eby/apa/3860742107.html,(vallejo / benicia)
Renovated Furnished 2 BD / 2 BA Condo - ReLISTO,$4000,http://sfbay.craigslist.org/sfc/apa/3806999341.html,(sunset / parkside)
single house near tracy sports complex for rent,$1794,http://sfbay.craigslist.org/eby/apa/3839833436.html,(dublin / pleasanton / livermore)
Open Tue - Beautiful Remodeled Large Studio Suite  (UCB/Bart) !!,$1095,http://sfbay.craigslist.org/eby/apa/3843851799.html,(berkeley north / hills)
Beautiful 4 Bedroom Mountain House Home For Rent ,$1825,http://sfbay.craigslist.org/eby/apa/3835769907.html,(dublin / pleasanton / livermore)
"Beautiful 4 bedroom with office, 3 bath home in Green Valley",$2200,http://sfbay.craigslist.org/eby/apa/3842176197.html,(fairfield / vacaville)
Enchanting 4BD/4BA Furnished Home - ReLISTO ,$28000,http://sfbay.craigslist.org/sfc/apa/3811795140.html,(pacific heights)
Open Tue - DISCOUNT BIG Remodeled Studio Suite - 2 people (Bart/UCB)!,$1095,http://sfbay.craigslist.org/eby/apa/3860740965.html,(berkeley)
Detached Single Studio for Rent,$1500,http://sfbay.craigslist.org/eby/apa/3820172725.html,(fremont / union city / newark)
Large Clean Luxury Homes!  Call Today to Schedule Tour 542-3258,$1849,http://sfbay.craigslist.org/nby/apa/3860739480.html,(santa rosa)
One bedroom,$1300,http://sfbay.craigslist.org/eby/apa/3834220485.html,(berkeley north / hills)
NAPA - CUTE APARTMENT IN HISTORIC VICTORIAN TRIPLEX! ,$895,http://sfbay.craigslist.org/nby/apa/3856773569.html,(napa county)
Upper Westside at the base of the UCSC campus!,$4750,http://sfbay.craigslist.org/scz/apa/3860738566.html,(santa cruz)
 ROOMFOR RENT FREE INTERNET MOVE IN TODAYCALL5102092390/NOEMAILS/ ,$500,http://sfbay.craigslist.org/eby/apa/3860737989.html,(UNION CITY)
Alamo Executive Home,$5300,http://sfbay.craigslist.org/eby/apa/3860737211.html,(danville / san ramon)
" 3 bath, 3 car garage, In-ground Pool, hardwood floors, executive kitchen  ",$3685,http://sfbay.craigslist.org/sfc/apa/3860736749.html,img
"Furnished house, views, minutes to SF and Peninsula, private yard",$1595,http://sfbay.craigslist.org/pen/apa/3860736127.html,(south san francisco)
Amazing Single Family House!,$2450,http://sfbay.craigslist.org/sby/apa/3825499716.html,(hollister)
Nice duplex for rent--New kitchen--$$$ Move in Bonus $$$,$975,http://sfbay.craigslist.org/sby/apa/3860734903.html,(san jose west)
upper flat,$1450,http://sfbay.craigslist.org/nby/apa/3852479564.html,(vallejo)
