Beautiful Kitchen with Granite Counter Tops ,$1500,http://sfbay.craigslist.org/sby/apa/3860914330.html,(santa clara)
" BEAUTIFUL-NEW-RENT TO OWN option-Spirit Community-Pool, Club House **  ",$3600,http://sfbay.craigslist.org/eby/apa/3860914296.html,img
 You can RENT or RENT TO OWN!!!! RENT Purchase ~OO~ -   ,$3500,http://sfbay.craigslist.org/sfc/apa/3860913524.html,img
Hayes Valley -- 1 BR + Den / 1 BA Condo w/ Parking,$1350,http://sfbay.craigslist.org/sfc/apa/3860913504.html,(hayes valley)
$3500 - 5br - 2600ft² - - Mission San Jose Beautiful House with view,$1650,http://sfbay.craigslist.org/eby/apa/3860913309.html,(fremont / union city / newark)
" 1 bath  House for rent $1,350mo",$1500,http://sfbay.craigslist.org/eby/apa/3860911813.html,(oakland east)
 Great 1 Bedrooms RENT TO OWN Available Now!  ,$1000,http://sfbay.craigslist.org/pen/apa/3860911126.html,img
Remodeled 1 Bedroom 1 Bath in Crown Colony,$830,http://sfbay.craigslist.org/pen/apa/3852482780.html,(daly city)
 NO BANK QUALIFYING RENT TO OWN  ,$1500,http://sfbay.craigslist.org/sfc/apa/3860905722.html,img
Cambell Cottage Newly Remodeled~Beautiful & Quiet,$1450,http://sfbay.craigslist.org/sby/apa/3860905181.html,(campbell)
 Great RENT TO OWN Location  ,$3300,http://sfbay.craigslist.org/pen/apa/3860904599.html,img
 Home - Get on Path to Home RENT TO OWN Ownership - Bad Credit OK  ,$1095,http://sfbay.craigslist.org/sby/apa/3860902688.html,img
"SPACIOUS, NEWLY REMODELED 4 & 3 BEDROOM APARTMENTS. ONE MONTH FREE",$1265,http://sfbay.craigslist.org/sfc/apa/3860901439.html,(SF bay area__)
~Exclusive rent to own home large bedrooms and new appliance~}^{,$3250,http://sfbay.craigslist.org/sfc/apa/3860901056.html,(SF bay area~zvvpp)
"2 bed 1 bath upstairs unit. A/C, dual pane windows, within 4-plex.",$3150,http://sfbay.craigslist.org/sby/apa/3860900950.html,(campbell)
Spacious living area 3b/2ba house,$700,http://sfbay.craigslist.org/eby/apa/3860899771.html,(fairfield / vacaville)
 Studio guesthouse for with all utilities included RENT TO OWN  ,$7500,http://sfbay.craigslist.org/sfc/apa/3860898908.html,img
"1 bedroom, 1 bath, large den. Avail furn/unfurn. Near Stanford",$1350,http://sfbay.craigslist.org/pen/apa/3799185320.html,(palo alto)
"Cozy apartment with hardwood floor, carport, new paint, A/C",$1350,http://sfbay.craigslist.org/sby/apa/3846357662.html,(morgan hill)
"NO DEPOSIT, trash included, gated, pool, fitness WE NEED YOU",$2300,http://sfbay.craigslist.org/eby/apa/3849340814.html,(hayward / castro valley)
4bed/3bath Perfect Remodeled single family house for rent,$995,http://sfbay.craigslist.org/sby/apa/3853900787.html,(San Jose CA 95132)
Executive House on Hayward Hills,$2750,http://sfbay.craigslist.org/eby/apa/3860897307.html,(hayward / castro valley)
3 Bedroom/2 Bath APPLY NOW!! Limited Time Offer!,$2195,http://sfbay.craigslist.org/nby/apa/3860896325.html,())))SF bay area))))
Panoramic view Penthouse in Prime Russian Hill,$725,http://sfbay.craigslist.org/sfc/apa/3856309327.html,(russian hill)
"Quiet,Private PATIO,Pets welcome",$2600,http://sfbay.craigslist.org/sby/apa/3860891554.html,(sunnyvale)
Furnished/unfurnished small 2 bed/1ba +wifi+ Muni T-line+ buses,$4400,http://sfbay.craigslist.org/sfc/apa/3860891100.html,(bayview)
 Lake home for RENT on small private lake RTO Reduced  ,$2950,http://sfbay.craigslist.org/pen/apa/3860889988.html,img
Resort-like Furnished Executive Suite on Private Estate ,$1500,http://sfbay.craigslist.org/eby/apa/3848883207.html,(danville / san ramon)
"1 Bath, Free Cable TV & Free Heat, Downtown near S.L. BART Station",$1300,http://sfbay.craigslist.org/eby/apa/3841734726.html,(san leandro)
Beautiful Evergreen Home 3Br/2.5Ba,$700,http://sfbay.craigslist.org/sby/apa/3860888068.html,(san jose south)
Gorgeous Newly Renovated 5 Bedroom House,$1625,http://sfbay.craigslist.org/eby/apa/3860887959.html,(pittsburg / antioch)
Great Commuter room share bath,$5200,http://sfbay.craigslist.org/eby/apa/3855760755.html,(dublin / pleasanton / livermore)
"Large Private Yard, Beautiful - 3/2 for $2600",$1350,http://sfbay.craigslist.org/sby/apa/3860886256.html,(san jose west)
 Large 3 BR townhome with Finished bsmt and Double RENT TO OWN garage   ,$1540,http://sfbay.craigslist.org/sby/apa/3860884618.html,img
 Great 1 Bedrooms Available Now!  ,$3200,http://sfbay.craigslist.org/pen/apa/3860884100.html,img
" 3-bedroom, one bath lower duplex RENT TO OWN  ",$4200,http://sfbay.craigslist.org/pen/apa/3860883299.html,img
  Modern home that is rent to own  ,$4100,http://sfbay.craigslist.org/sby/apa/3860882410.html,img
 3 Br 2bathroom Apartment home for RENT TO OWN  ,$695,http://sfbay.craigslist.org/eby/apa/3860882226.html,img
HOME-EMERALD HILLS - July 1,$1530,http://sfbay.craigslist.org/pen/apa/3847208032.html,(redwood city)
"Nice, bright condo, 1 car garage, walk to Lincoln,Kennedy,Monta Vista",$2595,http://sfbay.craigslist.org/sby/apa/3860881259.html,(cupertino)
4 bed 2 bath Remodeled Bay Point House ,$1675,http://sfbay.craigslist.org/eby/apa/3843332006.html,(concord / pleasant hill / martinez)
