URL, Rent, Address
http://www.trulia.com//rental/3118764101-300-3rd-St-319-San-Francisco-CA-94107,"$4,400 /mo","300 3rd St #319, San Francisco, CA 94107"
http://www.trulia.com//rental/3105158313--Van-Ness-San-Francisco-CA-94103,"$4,450 /mo"," Van Ness, San Francisco, CA 94103"
http://www.trulia.com//rental/3119852023-2130-Post-St-405-San-Francisco-CA-94115,"$4,450 /mo","2130 Post St #405, San Francisco, CA 94115"
http://www.trulia.com//rental/3116133631--3rd-5308-San-Francisco-CA-94107,"$4,450 /mo"," 3rd #5308, San Francisco, CA 94107"
http://www.trulia.com//rental/3096516839--Bush-901-San-Francisco-CA-94109,"$4,450 /mo"," Bush #901, San Francisco, CA 94109"
http://www.trulia.com//rental/3061477212--Pine-St-737-San-Francisco-CA-94108,"$4,455 /mo"," Pine St #737, San Francisco, CA 94108"
http://www.trulia.com//rental/3096610793-901-Bush-St-San-Francisco-CA-94109,"$4,475 /mo","901 Bush St, San Francisco, CA 94109"
http://www.trulia.com//rental/3118765645-199-New-Montgomery-St-San-Francisco-CA-94105,"$4,480 /mo","199 New Montgomery St, San Francisco, CA 94105"
http://www.trulia.com//rental/3066898031--Green-St-San-Francisco-CA-94109,"$4,495 /mo"," Green St, San Francisco, CA 94109"
http://www.trulia.com//rental/3119878033-295-Dore-St-San-Francisco-CA-94103,"$4,500 /mo","295 Dore St, San Francisco, CA 94103"
http://www.trulia.com//rental/3093999798-737-Pine-St-San-Francisco-CA-94108,"$4,500 /mo","737 Pine St, San Francisco, CA 94108"
http://www.trulia.com//rental/3118311904--Bush-San-Francisco-CA-94109,"$4,500 /mo"," Bush, San Francisco, CA 94109"
http://www.trulia.com//rental/3112778340-901-Bush-St-407-San-Francisco-CA-94109,"$4,500 /mo","901 Bush St #407, San Francisco, CA 94109"
http://www.trulia.com//rental/3095131893-33-New-Montgomery-St-San-Francisco-CA-94105,"$4,500 /mo","33 New Montgomery St, San Francisco, CA 94105"
http://www.trulia.com//rental/3106378349-Apartment-San-Francisco-CA-94115,"$4,500 /mo","Address Not Disclosed, San Francisco, CA 94115"
http://www.trulia.com//rental/3114775461--Rose-St-San-Francisco-CA-94102,"$4,500 /mo"," Rose St, San Francisco, CA 94102"
http://www.trulia.com//rental/3113982173-725-Pine-St-102-San-Francisco-CA-94108,"$4,500 /mo","725 Pine St #102, San Francisco, CA 94108"
http://www.trulia.com//rental/3087582248-199-New-Montgomery-St-San-Francisco-CA-94105,"$4,590 /mo","199 New Montgomery St, San Francisco, CA 94105"
http://www.trulia.com//rental/3118312478--2nd-San-Francisco-CA-94105,"$4,600 /mo"," 2nd, San Francisco, CA 94105"
http://www.trulia.com//rental/3083887792--Daniel-Burnham-Ct-San-Francisco-CA-94109,"$4,600 /mo"," Daniel Burnham Ct, San Francisco, CA 94109"
http://www.trulia.com//rental/3068282364--Saint-Francis-Pl-2K-San-Francisco-CA-94107,"$4,600 /mo"," Saint Francis Pl #2K, San Francisco, CA 94107"
http://www.trulia.com//rental/3092859040-Apartment-San-Francisco-CA-94109,"$4,600 /mo","Jones Street and Pleasant Street, San Francisco, CA 94109"
http://www.trulia.com//rental/3104258597-Apartment-San-Francisco-CA-94115,"$4,600 /mo","Address Not Disclosed, San Francisco, CA 94115"
http://www.trulia.com//rental/3101854280-850-Steiner-St-San-Francisco-CA-94117,"$4,600 /mo","850 Steiner St, San Francisco, CA 94117"
http://www.trulia.com//rental/3076084527-1221-Jones-St-San-Francisco-CA-94109,"$4,615 /mo","1221 Jones St, San Francisco, CA 94109"
http://www.trulia.com//rental/3113637170-130-Frederick-St-206-San-Francisco-CA-94117,"$4,615 /mo","130 Frederick St #206, San Francisco, CA 94117"
http://www.trulia.com//rental/3102026603--Steiner-St-850-San-Francisco-CA-94117,"$4,629 /mo"," Steiner St #850, San Francisco, CA 94117"
http://www.trulia.com//rental/3118311637--Fillmore-St-San-Francisco-CA-94115,"$4,700 /mo"," Fillmore St, San Francisco, CA 94115"
http://www.trulia.com//rental/3120263874--Polk-St-2727-San-Francisco-CA-94109,"$4,700 /mo"," Polk St #2727, San Francisco, CA 94109"
http://www.trulia.com//rental/3118311703-650-Turk-St-505-San-Francisco-CA-94102,"$4,700 /mo","650 Turk St #505, San Francisco, CA 94102"
http://www.trulia.com//rental/3117532002--Van-Ness-San-Francisco-CA-94109,"$4,700 /mo"," Van Ness, San Francisco, CA 94109"
http://www.trulia.com//rental/3070116240--Lombard-St-1355-San-Francisco-CA-94109,"$4,700 /mo"," Lombard St #1355, San Francisco, CA 94109"
http://www.trulia.com//rental/3120064350-Apartment-San-Francisco-CA-94109,"$4,700 /mo","California Street and Van Ness Avenue, San Francisco, CA 94109"
http://www.trulia.com//rental/3099774194--Lombard-St-1340-San-Francisco-CA-94109,"$4,735 /mo"," Lombard St #1340, San Francisco, CA 94109"
http://www.trulia.com//rental/3093668017-737-Pine-St-41-San-Francisco-CA-94108,"$4,750 /mo","737 Pine St #41, San Francisco, CA 94108"
http://www.trulia.com//rental/3112778508-176-Haight-St-San-Francisco-CA-94102,"$4,750 /mo","176 Haight St, San Francisco, CA 94102"
http://www.trulia.com//rental/3119736459-920-Harrison-St-San-Francisco-CA-94107,"$4,750 /mo","920 Harrison St, San Francisco, CA 94107"
http://www.trulia.com//rental/3118311991--Bush-San-Francisco-CA-94109,"$4,800 /mo"," Bush, San Francisco, CA 94109"
http://www.trulia.com//rental/3118311841--Pine-San-Francisco-CA-94108,"$4,800 /mo"," Pine, San Francisco, CA 94108"
http://www.trulia.com//rental/3113982297-2900-Pierce-St-San-Francisco-CA-94123,"$4,800 /mo","2900 Pierce St, San Francisco, CA 94123"
http://www.trulia.com//rental/3110229315-1340-Taylor-St-11-San-Francisco-CA-94108,"$4,800 /mo","1340 Taylor St #11, San Francisco, CA 94108"
http://www.trulia.com//rental/3118206374-Condo-San-Francisco-CA-94115,"$4,845 /mo","Clay Street and Presidio Avenue, San Francisco, CA 94115"
http://www.trulia.com//rental/3087125651--Linden-Gough-San-Francisco-CA-94102,"$4,900 /mo"," Linden Gough, San Francisco, CA 94102"
http://www.trulia.com//rental/3087666795-Multi-Family-Home-San-Francisco-CA-94109,"$4,945 /mo","Address Not Disclosed, San Francisco, CA 94109"
http://www.trulia.com//rental/3107753786-Condo-San-Francisco-CA-94102,"$4,945 /mo","Laguna Street and Rose Street, San Francisco, CA 94102"
http://www.trulia.com//rental/3120843875-Apartment-San-Francisco-CA-94117,"$5,000 /mo","Address Not Disclosed, San Francisco, CA 94117"
http://www.trulia.com//rental/3118311853--Haight-San-Francisco-CA-94102,"$5,000 /mo"," Haight, San Francisco, CA 94102"
http://www.trulia.com//rental/3113982910-181-Ofarrell-St-306-San-Francisco-CA-94102,"$5,000 /mo","181 Ofarrell St #306, San Francisco, CA 94102"
http://www.trulia.com//rental/3113983258-1747-Sutter-St-San-Francisco-CA-94115,"$5,000 /mo","1747 Sutter St, San Francisco, CA 94115"
http://www.trulia.com//rental/3118372267-2040-Franklin-St-1103-San-Francisco-CA-94109,"$5,000 /mo","2040 Franklin St #1103, San Francisco, CA 94109"
http://www.trulia.com//rental/3117206273-Condo-San-Francisco-CA-94107,"$5,100 /mo","Address Not Disclosed, San Francisco, CA 94107"
http://www.trulia.com//rental/3104075719-2001-Union-St-San-Francisco-CA-94123,"$5,200 /mo","2001 Union St, San Francisco, CA 94123"
http://www.trulia.com//rental/3068374155--Jones-St-1155-San-Francisco-CA-94109,"$5,215 /mo"," Jones St #1155, San Francisco, CA 94109"
http://www.trulia.com//rental/3076085506-1155-Jones-St-San-Francisco-CA-94109,"$5,300 /mo","1155 Jones St, San Francisco, CA 94109"
http://www.trulia.com//rental/3092859279-Apartment-San-Francisco-CA-94109,"$5,345 /mo","Jones Street and Pleasant Street, San Francisco, CA 94109"
http://www.trulia.com//rental/3118311323--Vallejo-San-Francisco-CA-94109,"$5,350 /mo"," Vallejo, San Francisco, CA 94109"
http://www.trulia.com//rental/3119877521--Turk-St-San-Francisco-CA-94109,"$5,395 /mo"," Turk St, San Francisco, CA 94109"
http://www.trulia.com//rental/3087061999--Berry-St-San-Francisco-CA-94158,"$5,400 /mo"," Berry St, San Francisco, CA 94158"
http://www.trulia.com//rental/3109203295-1855-California-St-4-San-Francisco-CA-94109,"$5,400 /mo","1855 California St #4, San Francisco, CA 94109"
http://www.trulia.com//rental/3062525321--Buena-Vista-Ave-W-San-Francisco-CA-94117,"$5,400 /mo"," Buena Vista Ave W, San Francisco, CA 94117"
http://www.trulia.com//rental/3119684509-1895-Pacific-Ave-403-San-Francisco-CA-94109,"$5,400 /mo","1895 Pacific Ave #403, San Francisco, CA 94109"
http://www.trulia.com//rental/3120955014-530-Ashbury-St-San-Francisco-CA-94117,"$5,440 /mo","530 Ashbury St, San Francisco, CA 94117"
http://www.trulia.com//rental/3076084531-1221-Jones-St-San-Francisco-CA-94109,"$5,440 /mo","1221 Jones St, San Francisco, CA 94109"
http://www.trulia.com//rental/3107629089-Apartment-San-Francisco-CA-94109,"$5,490 /mo","Address Not Disclosed, San Francisco, CA 94109"
http://www.trulia.com//rental/3118151162-Condo-San-Francisco-CA-94109,"$5,495 /mo","California Street and Helen Place, San Francisco, CA 94109"
http://www.trulia.com//rental/3118311587--Divisadero-St-San-Francisco-CA-94117,"$5,500 /mo"," Divisadero St, San Francisco, CA 94117"
http://www.trulia.com//rental/3022976908--Haight-St-610-San-Francisco-CA-94117,"$5,500 /mo"," Haight St #610, San Francisco, CA 94117"
http://www.trulia.com//rental/3092859041-Apartment-San-Francisco-CA-94109,"$5,500 /mo","Jones Street and Pleasant Street, San Francisco, CA 94109"
